celltype	marker_gene
CD34_pos_CLP	CYGB
CD34_pos_CLP	ADA
CD34_pos_CLP	UMODL1
CD34_pos_CLP	AGPS
CD34_pos_CLP	TRBVB
CD34_pos_CLP	AOX1
CD34_pos_CLP	PCAT14
CD34_pos_CLP	MFAP4
CD34_pos_CLP	ENAM
CD34_pos_CLP	LAIR1
CD34_pos_CLP	CD200
CD34_pos_CLP	SCN3A
CD34_pos_CLP	LINC00226
CD34_pos_CLP	B3GNT2
CD34_pos_CLP	IGHV1-69
CD34_pos_CLP	SCAI
CD34_pos_CLP	RFLNA
CD34_pos_CLP	IGHV3-38
CD34_pos_CLP	ATP1A3
CD34_pos_CLP	EDA2R
CD34_pos_CLP	LINC02557
CD34_pos_CLP	LINC01965
CD34_pos_CLP	PKHD1
CD34_pos_CLP	CLIP2
CD34_pos_CLP	MYCBP2
CD34_pos_CLP	AFF1
CD34_pos_CLP	SYT10
CD34_pos_CLP	SPACA9
CD34_pos_CLP	ZNF295-AS1
CD34_pos_CLP	LAMA3
CD34_pos_CLP	CCDC122
CD34_pos_CLP	PARD3-AS1
CD34_pos_CLP	LINC00333
CD34_pos_CLP	C22orf15
CD34_pos_CLP	GNA14
CD34_pos_CLP	STAP2
CD34_pos_CLP	TMEM200A
CD34_pos_CLP	CPA2
CD34_pos_CLP	POLR3D
CD34_pos_CLP	KIF9-AS1
CD34_pos_CLP	ANTXRL
CD34_pos_CLP	MYO18B
CD34_pos_CLP	RTN4R
CD34_pos_CLP	WT1-AS
CD34_pos_CLP	LNCTAM34A
CD34_pos_CLP	LINC00958
CD34_pos_CLP	ZSCAN29
CD34_pos_CLP	FLRT1
CD34_pos_CLP	LINC01827
CD34_pos_CLP	LINC01423
CD34_pos_CLP	ASPN
CD34_pos_CLP	INSC
CD34_pos_CLP	ATP5MF-PTCD1
CD34_pos_CLP	C1orf210
CD34_pos_CLP	PURPL
CD34_pos_CLP	ZNF772
CD34_pos_CLP	BAALC-AS1
CD34_pos_CLP	OCLM
