Hay_Bone_Marrow_CD34_pos_CLP	Hay_Bone_Marrow_CD34_pos_Eo_B_Mast	Hay_Bone_Marrow_CD34_pos_ERP	Hay_Bone_Marrow_CD34_pos_ERP_Early	Hay_Bone_Marrow_CD34_pos_Gran	Hay_Bone_Marrow_CD34_pos_HSC	Hay_Bone_Marrow_CD34_pos_HSC_cycle	Hay_Bone_Marrow_CD34_pos_LMPP	Hay_Bone_Marrow_CD34_pos_Lymphoid_UNK	Hay_Bone_Marrow_CD34_pos_MDP_1	Hay_Bone_Marrow_CD34_pos_MDP_2	Hay_Bone_Marrow_CD34_pos_MEP	Hay_Bone_Marrow_CD34_pos_MKP	Hay_Bone_Marrow_CD34_pos_MultiLin	Hay_Bone_Marrow_CD34_pos_pre_B	Hay_Bone_Marrow_CD34_pos_pre_B_cycling	Hay_Bone_Marrow_CD34_pos_pre_PC	Hay_Bone_Marrow_CD34_pos_pre_T	Hay_Bone_Marrow_CD8_T_cell	Hay_Bone_Marrow_Dendritic_Cell	Hay_Bone_Marrow_Early_Erythroblast	Hay_Bone_Marrow_Eosinophil	Hay_Bone_Marrow_Follicular_B_cell	Hay_Bone_Marrow_Granulocytic_UNK	Hay_Bone_Marrow_Immature_Neutrophil	Hay_Bone_Marrow_Monocyte	Hay_Bone_Marrow_Naive_T_cell	Hay_Bone_Marrow_Neutrophil	Hay_Bone_Marrow_NK_cells	Hay_Bone_Marrow_Plasma_Cell	Hay_Bone_Marrow_Platelet	Hay_Bone_Marrow_Pre_Dendritic	Hay_Bone_Marrow_Pro_B	Hay_Bone_Marrow_Stromal
CYGB	CLC	PCAT18	GIHCG	PRSS57	CRHBP	SCGB1D4	ACY3	GLDC	KIF17	LINC01170	DEPTOR	ITGA2B	SMIM24	CD79B	UHRF1	DNTT	CGA	CCL5	CD74	APOC1	RNASE2	MS4A1	KCNE5	FTL	LST1	RPS27	S100A9	GNLY	MZB1	PPBP	CTSV	STMN1	CXCL12
ADA	HDC	SERPINE2	ZNF385D	MPO	AVP	CCDC169-SOHLH2	NREP	FABP5	HMSD	TRIM43	HACD1	VWF	SPINK2	TCL1A	PRDX1	VPREB3	IGLV3-12	GZMH	HLA-DPB1	NMU	LYZ	CD79A	VAMP8	CTSS	FCGR3A	RPL30	S100A8	NKG7	SSR4	CAVIN2	SAMHD1	IGLL1	APOE
UMODL1	MS4A2	MAP7	PKIG	AZU1	NPR3	DNAH5	NEGR1	VAT1L	ADGRL3	LINC01193	SVOPL	LTBP1	ENO1	BCL7A	CRMP1	VPREB1	CXCL13	IL32	HLA-DPA1	CNRIP1	LGALS1	BANK1	CCL23	NEAT1	AIF1	RPS29	S100A12	KLRF1	IGKC	GP9	AXL	HMGN2	CP
AGPS	MS4A3	MEST	STXBP6	ELANE	LINC02573	LINC01123	NPTX2	LDHA	GXYLT2	CACNB4	CPB1	SPX	CLDN10	PCDH9	LSM7	CD9	PLCL2-AS1	CD8A	HLA-DRB1	GAL	RETN	LINC00926	AK4	LGALS2	COTL1	RPS25	VCAN	CTSW	JCHAIN	TUBB1	AREG	HMGB2	LEPR
TRBVB	LINC01835	RYR3	SLC40A1	PRTN3	AJ009632.2	FAM155B	TRH	CAPSL	LINC01102	SMTNL2	FREM1	WFDC1	NUCB2	CCDC191	KAZALD1	HMHB1	TREX1	DUSP2	HLA-DRA	NPM1	MT-CO2	CD37	PM20D2	CLEC7A	MS4A7	RPL21	FCN1	PRF1	FKBP11	GNG11	SPATS2L	TUBA1B	DCN
AOX1	TPSAB1	NET1	PDZD8	NPW	FAM30A	LINC02249	MIR1-1HG-AS1	UGT3A2	HOTTIP	MAEL	SPINK4	ITPKA	CDK6	ACSM3	PTPRD	LCN6	JPH1	KLRG1	FCER1A	CXADR	H1FX	TNFRSF13C	METTL7B	NAMPT	IFITM3	RPS27A	S100A6	KLRD1	SEC11C	PF4	FBLN2	NUSAP1	PCOLCE
PCAT14	PRG2	FAM124B	EMID1	C1QTNF4	MYCT1	SNAP25	PRSS2	BCAT1	GUCA1A	AL590683.1	HYAL3	PBX1	CPXM1	CFAP73	PSMA6	AKAP12	GFRA3	TRGC2	HLA-DQA1	FAM89A	MT-CO3	RALGPS2	RXFP1	ZFP36L1	SMIM25	RPL13	CSTA	CD7	IGHG1	ACRBP	PAK1	PTMA	SELENOP
MFAP4	TPSB2	STAT5A	ATF7IP2	CLEC11A	CRYGD	SYT13	SDK2	KCNK9	FCRL4	FCN3	ABCC4	PLEK	ISYNA1	SNHG7	STK32B	LINC01013	GBP1	GZMK	PLD4	PNMT	RPLP1	BLK	COL23A1	CEBPB	CDKN1C	RPL34	TSPO	CST7	IGHA1	TREML1	FAM81A	TUBB	ESM1
ENAM	HPGDS	TRIB2	AMHR2	CPA3	EGFL7	LINC01905	CLNK	COMTD1	AMIGO3	NOXRED1	TAFA2	MMRN1	ARMH1	FAM129C	MEG9	ARPP21	TMEM155	LYAR	HLA-DQB1	GCSH	MT-ND4	LINC01781	SIGLEC12	MAFB	HES4	RPL31	CD14	HOPX	DERL3	CMTM5	HAMP	HMGB1	VCAM1
LAIR1	EPX	CCDC181	PHTF1	CTSG	BEX1	ATOH7	JAM2	KSR2	PIAS3	CALHM3	DYTN	IGSF10	FLT3	CDHR3	NKD2	SOCS2	ODF1	HLA-B	LILRA4	C1QBP	MT-ATP6	LINC01857	RNF175	SGK1	FCER1G	RPLP2	TYROBP	GZMA	TNFRSF17	RGS18	STMN2	MKI67	RARRES2
CD200	EXD3	GDPD1	CCNG1	CALR	CD34	CNNM1	CSN1S1	HPN-AS1	TRBV26OR9-2	LINC02390	MYCN	TPM1	LKAAEAR1	RCSD1	AFM	SMIM3	RTL3	LINC01871	IRF7	NME1	COX8A	HLA-DOB	ABHD17C	NPC2	FTH1	RPS15A	MNDA	CD247	SDC1	CLEC1B	YIF1B	FAM111B	GGT5
SCN3A	CDK15	NENF	MEX3B	RNASE3	ZFAS1	PCOLCE2	MB	SAMD7	SERTM2	CLEC2A	ATP6V0A2	PRTFDC1	AIF1L	NSMCE1	DIPK1C	DUSP26	DHCR24-DT	CD8B	CLEC10A	FSCN1	SLC44A1	P2RX5	ILDR2	HIF1A	SERPINA1	RPL23A	S100A4	SPON2	IGLC2	TMEM40	SEPT3	AURKB	OLFML3
LINC00226	LMO4	MTCL1	RNF24	HSPB1	PROM1	SLCO1B1	PCP4L1	HDHD5	GPR142	STBD1	IL1RL1	GJA4	BZW2	RUBCNL	DYDC2	MME	SH3PXD2A-AS1	LAG3	CST3	CDH1	RFLNB	TNFRSF13B	MACORIS	ATP2B1-AS1	PSAP	SARAF	CTSD	GZMB	SPAG4	HIST1H2AC	SIGLEC6	CD24	C1S
B3GNT2	LINC00323	YARS	TEK	STAR	HTR1F	SPATA4	ELAVL4	FGFR4	CT66	ZNF503-AS1	LYPD6	TGFB1I1	FAM216A	AFF3	NGB	HPS4	TP73	PPP2R5C	IRF8	PVT1	SERPINB10	ARHGAP24	LINC01700	FCGRT	SAT1	IL7R	PLBD1	FGFBP2	SCNN1B	CLDN5	IMPA2	TYMS	PLPP3
IGHV1-69	SLC45A3	EPSTI1	SLC27A6	SUCNR1	LINC01122	ZSCAN23	LZTFL1	NME2	RBMXL2	PTCHD3	WFDC10A	ANXA3	TM7SF3	C16orf74	MAT1A	ERG	ASMT	CD99	SERPINF1	GRTP1	RAB32	FCER2	CCN3	CEBPD	S100A11	RPS14	TYMP	TRDC	JSRP1	ESAM	DNAJB11	TOP2A	LUM
SCAI	NOX3	CYP7B1	SOSTDC1	MIF	CYTL1	OR51I1	SLC22A11	TEX15	ZIM2-AS1	FAM131C	LINC02675	COL2A1	CLGN	IRF4	MC4R	RPS4Y2	CEND1	RGS1	HLA-DMA	UNG	DBI	CD22	SLC25A1	IFI30	TIMP1	RPS12	FOS	IL2RB	IGHG3	RUFY1	COMMD9	H2AFZ	IGF2
RFLNA	HPGD	GNB3	C1orf141	SNHG19	MSRB3	LINC01227	TMEM151B	IGKV2OR2-1	CMA1	RSPO2	TMEFF2	MED12L	CDH2	WASF1	LINC00539	SH2D4B	DDC	PTPRC	TPM2	MYC	MT-ND4L	FCRLA	HHLA2	PFDN5	RHOC	RPL11	GPX1	MATK	PRDX4	PTCRA	PFDN2	SMC4	C1R
IGHV3-38	DTWD2	TMEM72	NAA80	HGF	BAALC	EWSAT1	C16orf82	CPNE7	PIP5K1A	SMC2-AS1	DLGAP1-AS5	GATA2	DNAJC12	BACH2	LINC01120	MLXIP	DISP3	CXCR4	SMPD3	DNPH1	MT-ND1	ADAM28	ZMYM4	ODF3B	LRRC25	RPL13A	ATP5MPL	CLIC3	HSP90B1	C2orf88	CAMP	PDLIM1	IGFBP5
ATP1A3	ADCYAP1	CDH10	PHACTR4	TMEM258	PRKG2	SIAH3	AMY1B	TULP1	ZNF705D	ZNF816	FOXR1	ST6GAL2	TCEAL5	CCDC112	ARHGAP40	LAPTM5	IGF2BP1	SH2D1A	C12orf75	DES	H2AFJ	FCRL2	LMNB1-DT	ASAH1	CXCL16	CD3E	AP1S2	IFITM2	IGLC3	NRGN	OSBPL8	H3F3A	LHFPL6
